,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191,remark
2000,19961222039699A,FAILED TO STOW SPOILERS FOR GLIDER TOW  THEY DEPLOYED  GLIDER PILOT CUT LOSE FROM TOW BUT HIT TREES SHORT RUNWAY ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Trees,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Glider              ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,KITE/SAILWING                 ,NONPOWERED                    ,                              ,                    ,                    ,                    ,                    ,FAILED TO STOW SPOILERS FOR GLIDER TOW  THEY DEPLOYED  GLIDER PILOT CUT LOSE FROM TOW BUT HIT TREES SHORT RUNWAY 
2001,19961228045179A,MOTORIZED GLIDER  SHUT OFF ENGINE  THERMALED  TIME RETURN NO START  LANDED IN A SWAMP  MISHANDLED STARTUP ITEMS ,ME,E,85,Fail/Incorrect Use M,Emergency Landing   ,Pilot-In-Command    ,8500,                    ,                    ,Plt Induced Failure/,Engine Malfunction  ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Glider              ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,KITE/SAILWING                 ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,Pilot and Ground Cre,                    ,MOTORIZED GLIDER  SHUT OFF ENGINE  THERMALED  TIME RETURN NO START  LANDED IN A SWAMP  MISHANDLED STARTUP ITEMS 
2002,19970116005549I,"NARRATIVE: ON JANUARY 16, 1997, A BEECH 99, OWNED AND OPERATED BY ALPINE AIR OF PROVO, UTAH, HAD DEPARTED BILLINGS,",II,E,52,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,5210,                    ,                    ,Improperly Secured  ,System/Component Mal,Normal Cruise,                    ,Pilot And Maintenanc,Air Taxi (Non-Schedu,Cargo               ,Unknown             ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"NARRATIVE: ON JANUARY 16, 1997, A BEECH 99, OWNED AND OPERATED BY ALPINE AIR OF PROVO, UTAH, HAD DEPARTED BILLINGS, MONTANA, AND WAS OPERATING AT 9500 FEET IN LEVEL FLIGHT WHEN PILOT'S ACCESS DOOR DEPARTED THE AIRCRAFT  THE AIRCRAFT LANDED AT GREAT FALLS, MONTANA, WITHOUT INCIDENT  NO INJURIES WERE SUSTAINED BY THE CREW, AND NO DAMAGAE OCCURED TO PERSONS OR PROPERTY ON THE GROUND  THE AIRCRAFT HAD NO MECHANICAL MALFUNCTION AND HAD ONLY MINOR DAMAGE  PRIVACY DATA OMITTED NO ACTUAL maintenance ON THIS SYSTEM IS REQUIRED BY BEECH'S maintenance PROGRAM OR THE OPERATORS AAIP SAFETY RECOMMENDATION PENDING  THIS INCIDENT IS CONSIDERED CLOSED "
2003,19970116011999A,LOST POWER ON FINAL  LANDED SHORT IN TREES  WATER IN FUEL  LEAKY FUEL CAP  HAD BEEN LEFT OUT IN RAIN   STUDENT,II,E,28,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,2810,                    ,                    ,Leaking             ,Collision With Trees,Forced Landing,                    ,Pilot And Maintenanc,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,Flight Instructor   ,Discussion          ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,LOST POWER ON FINAL  LANDED SHORT IN TREES  WATER IN FUEL  LEAKY FUEL CAP  HAD BEEN LEFT OUT IN RAIN   STUDENT PILOT EXPERIENCED FAILURE ON FINAL TO BCT RWY 23S AFTER  9  MIN  OF FLIGHT AND LANDED 1500 FT  SHORT OF RUNWAY IN A LANDSCAPED APPROACH AREA JUST INSIDE AIRPORT OUTER FENCE   PILOT SUSTAINED BROKEN BONE IN LEFT HAND AND MINOR CONTUSIONS  INVESTIGATION OF SUBSTANTIALLY DAMAGED AIRCRAFT REVEALED WATER IN CARBURETOR AND GASCALATOR   NO WATER FOUND IN FUEL TANKS 
2004,19970103001249I,"NARRATIVE: MR  DON GENTRY IS THE BUILDER, OWNER AND PILOT OF N19DG, WHICH WAS INVOLVED IN AN INCIDENT  THE AIRCRAFT",ME,E,33,Fail/Incorrect Use M,Emergency Landing   ,Pilot-In-Command    ,3340,                    ,                    ,Jammed Or Malfunctio,System/Component Mal,Final Approach,                    ,Pilot And Maintenanc,Personal            ,Experimental Test Fl,Unknown             ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,"NARRATIVE: MR  DON GENTRY IS THE BUILDER, OWNER AND PILOT OF N19DG, WHICH WAS INVOLVED IN AN INCIDENT  THE AIRCRAFT IS AN AMATEUR BUILT AIRCRAFT AND WAS ON ITS 15TH HOUR OF TEST FLIGHT, WHEN INCIDENT OCCURRED  MR  GENTRY OPERATING AIRCRAFT, WHEN HE TURNED ON LANDING LIGHT AND TAXI LIGHT PRIOR TO LANDING AT JEFFERSON CITY MEMORIAL AIRPORT  THE ENGINE OF THE AIRCRAFT STOPPED RUNNING  MR  GENTRY MADE AN UNEVENTFUL LANDING IN FIELD WITH NO DAMAGE TO AIRCRAFT OR PERSONAL INJURIES  MR  GENTRY THEN REALIZED HE DID NOT HAVE HIS ALTERNATE ELECTRONIC IGNITION SWITCH ON, HE RESET MAIN CIRCUIT BREAKER WHICH POPPED DUE SHORT IN LIGHT SYSTEM, HE TURNED HIS ALTERNATE ELECTRONIC IGNITION SWITCH ON, STARTED AIRCRAFT AND FLEW TO AIRPORT AND LANDED WITHOUT FURTHER INCIDENT  IF ALTERNATE ELECTRONIC IGNITION SWITCH HAD BEEN ON, THERE WOULD HAVE BEEN NO ENGINE FAILURE  INCIDENT NUMBER CE97IGA0029  THIS INCIDENT IS CLOSED "
2005,19970110025289I,NOSED OVER ON TAKEOFF ROLL WHEN ROTATION ATTEMPTED ON TEST FLIGHT  ELEVATOR CABLES HOOKED UP BACKWARDS ,II,E,27,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,2730,                    ,                    ,Improper Instal - No,Hard Landing        ,Takeoff Ground Roll,                    ,Pilot And Maintenanc,Other               ,Test Flight         ,Unknown             ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,NOSED OVER ON TAKEOFF ROLL WHEN ROTATION ATTEMPTED ON TEST FLIGHT  ELEVATOR CABLES HOOKED UP BACKWARDS 
2006,19970111006749I,"NARRATIVE: PILOT STATED TO TWO INTERVIEWING INSPECTORS, HE AND PASSENGERS WERE IN LEVEL FLIGHT AT APPROXIMATELY 250",II,E,32,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,3242,                    ,                    ,Overstressed        ,Forced Landing      ,Normal Cruise,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Re-Examination/Re-In,Flight Personnel    ,Violation           ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"NARRATIVE: PILOT STATED TO TWO INTERVIEWING INSPECTORS, HE AND PASSENGERS WERE IN LEVEL FLIGHT AT APPROXIMATELY 250 KNOTS WHEN THEY HEARD A LOUD BANG  PILOT HAD NO IDEA WHAT HAD HAPPENED, BUT HE QUICKLY PROCEEDED BACK TO VGT FROM THE PARUMPH, NEVADA AREA  BECAUSE HE NEVER DECLARED AN EMERGENCY, ATC HAD HIM CIRCLE FOR 15 MINUTES WAITING ON TRAFFIC  THE PILOT STATED HE WAS VERY CONCERNED ABOUT THE CONDITION OF THE AIRCRAFT THE WHOLE TIME  WHEN HE FINALLY LANDED, HE WAS SO ""SHOOK UP"" HE ""GOT ON THE BRAKES "" THE RIGHT TIRE THREW CHUNKS OF RUBBER AND THE BRAKING MADE A FLAT SPOT ON THE LEFT TIRE  HE HAD THOUGHT HE WOULD RUN OFF THE RUNWAY  PRIVACY DATA OMITTED THE INFLIGHT PROBLEM WAS A RESULT OF THE PLENIUM CHAMBER DOOR DEPARTING THE AIRCRAFT  THE AIR LOCKS WERE NOT SECURE PRIOR TO FLIGHT  PRIVACY DATA OMITTED LETTER OF AUTHORIZATION TO OPERATE THIS T-33 AIRCRAFT HAS BEEN REVOKED "
2007,19960906030579I,"NARRATIVE: ON SEPTEMBER 6, 1996, A BEECHCRAFT, BE33A, N7368R PILOTED BY MR  JOHN MONYPENY WAS ENROUTE FROM CATALINA",ME,E,24,Fail/Incorrect Use M,Emergency Landing   ,Pilot-In-Command    ,2400,                    ,                    ,Undetermined        ,Gear Collapse       ,Fcd/Prec Ldg From Cr,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,"NARRATIVE: ON SEPTEMBER 6, 1996, A BEECHCRAFT, BE33A, N7368R PILOTED BY MR  JOHN MONYPENY WAS ENROUTE FROM CATALINA ISLAND, CA TO BERMUDA DUNES, CA WHEN THE AIRCRAFT EXPERIENCED AN ELECTRICAL POWER FAILURE  BECAUSE OF THE ELECTRICAL POWER FAILURE THE PILOT WAS WITHOUT COMMUNICATION, AND HE COULD NOT EXTEND THE LANDING GEAR  WHEN THE AIRCRAFT REACHED THE BERMUDA DUNES AREA THE PILOT ASSISTED BY A PASSENGER ATTEMPTED TO EXTEND THE LANDING GEAR FOLLOWING THE EMERGENCY PROCEDURES FOR THE AIRCRAFT BY MANUALLY HAND CRANKING THE GEAR DOWN  THE PILOT INDICATED THAT THEY CRANKED THE GEAR UNTIL IT STOPPED CRANKING BUT HAD NO WAY MECHANICALLY TO KNOW WHETHER THE GEAR WAS DOWN AND LOCKED  THEY DID A FLY-BY THE AIRPORT AND LANDED, BUT THE LANDING GEAR WAS ONLY PARTIALLY EXTENDED  DAMAGE TO THE AIRCRAFT CONSISTED OF THE GEAR DOORS, ANTENNAS, AND THE PROPELLER  THERE WERE NO INJURIES TO PERSONS ON THE AIRCRAFT  THE AFTER LANDING INVESTIGATION DID NOT REVEAL ANY MECHANICAL PROBLEMS WITH THE LANDING GEAR, AND THE REASON FOR THE ELECTRICAL FAILURE IS UNKNOWN  DUE TO THE DAMAGE TO THE PROPELLER, THE ENGINE COULD NOT BE OPERATED FOR TROUBLE SHOOTING PURPOSES  WHEN THE REPAIRS ARE COMPLETED ON THE AIRCRAFT AN M OR D WILL BE SUBMITTED REGARDING THE ELECTRICAL DEFECT  THIS INCIDENT IS CLOSED "
2008,19970213004729I,AFT CARGO LIGHTO ON CLIMBOUT  LOST PRESSURIZATION  NR3 ENGINE FAILED  RETURNED  CARGO DOOR OPEN  DOOR HIT ENGINE ,II,E,72,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,7200,                    ,                    ,Foreign Object Damag,System/Component Mal,Climb,                    ,Pilot Induced       ,Scheduled Air Carrie,Passengers          ,Unknown             ,Unknown             ,Day                 ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,AFT CARGO LIGHTO ON CLIMBOUT  LOST PRESSURIZATION  NR3 ENGINE FAILED  RETURNED  CARGO DOOR OPEN  DOOR HIT ENGINE 
2009,19960909026429A,YAW STRING CAUGHT IN CANOPY ON TOW  RELEASED  TURNED BACK  HEAVY SINK ON FINAL  STRUCK TREES ,II,O,  ,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Trees,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Glider              ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,KITE/SAILWING                 ,NONPOWERED                    ,                              ,                    ,                    ,                    ,                    ,YAW STRING CAUGHT IN CANOPY ON TOW  RELEASED  TURNED BACK  HEAVY SINK ON FINAL  STRUCK TREES 
2010,19960912034459A,THE PILOT REPORTED THAT HE HAD A TRIP IN THE MORNING  HE REPORTED THAT HE WAS RUNNING LATE AND WAS IN A HURRY ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Control Coll With Gr,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Ferry               ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"THE PILOT REPORTED THAT HE HAD A TRIP IN THE MORNING  HE REPORTED THAT HE WAS RUNNING LATE AND WAS IN A HURRY   HE NEGLECTED TO CHECK THE NACELLE TANKS FOR FUEL, BUT HE DID CHECK THE MAIN AND AUXILIARY TANKS WHICH WERE FULL   HE REPORTED THAT HE MISTAKENLY THOUGHT HE HAD FUEL IN THE NACELLE TANKS   HE COMPLETED THE TRIP AND WAS RETURNING TO JANESVILLE, WISCONSIN   ABOUT 12 MILES FROM THE AIRPORT BOTH ENGINES QUIT AND HE EXECUTED A FORCED LANDING TO A FIELD  THE AIRCRAFT REFUELER REPORTED THAT HE DID NOT REFUEL THE NACELLE TANKS   HE REPORTED HE WAS TOLD TO TOP OFF THE MAIN AND OUTBOARD TANKS   EXAMINATION OF THE AIRCRAFT REVEALED THAT THERE WAS NO FUEL IN THE FUEL TANKS                                                                    WHILE DEAD HEADING BACK TO HOME BASE JVL AIRCRAFT RAN OUT OF FUEL  AIRCRAFT LANDED GEAR UP IN A HAYFIELD DAMAGING ENGINES, PROPS AND BELLY  INVESTIGATION REVEALED NO FUEL IN THE TANKS  PILOT CONFIRMS FUEL EXHAUSTION "
2011,19970309007699I,"NARRATIVE: 3-9-97 1300LCL  DURING CLIMB AFTER TAKE OFF FROM HECTOR MUNICIPAL AIRPORT, HECTOR, MN  BOTH ENGINES LOST",II,E,28,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,2841,                    ,                    ,Improper Instal - No,System/Component Mal,Forced/Precautionary,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,"NARRATIVE: 3-9-97 1300LCL  DURING CLIMB AFTER TAKE OFF FROM HECTOR MUNICIPAL AIRPORT, HECTOR, MN  BOTH ENGINES LOST POWER  PILOT MADE AN OFF AIRPORT LANDING IN AN AGRICULTURAL FIELD  THE PILOT WAS THE ONLY ONE ON BOARD AND WAS NOT INJURED  THE AIRCRAFT SUSTAINED MINOR DAMAGE  DURING EXAMINATION OF THE AIRCRAFT THE FUEL TANKS WERE FOUND TO BE EMPTY  THE FUEL QUANTITY SYSTEM IS INDICATING5 GAL  ON BOARD  SUBMITTED M OR D REPORT "
2012,19970207001579A,"AIRCRAFT CRASHED ON TAKEOFF AND WAS MISSING, SUBJECT OF AN ALNOT  WRECKAGE WAS LOCATED   19 ON FEBRUARY 7, 1997,",II,J,PB,Inadequate Insp Of A,Shifting Fuel Cargo ,Pilot-In-Command    ,Poor Preflight Plan/,Shifting Fuel Cargo ,Pilot-In-Command    ,                    ,Uncontroll Coll With,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,Pilot and Ground Cre,"AIRCRAFT CRASHED ON TAKEOFF AND WAS MISSING, SUBJECT OF AN ALNOT  WRECKAGE WAS LOCATED   19 ON FEBRUARY 7, 1997, ABOUT 1000 ALASKA STANDARD TIME, A SKI EQUIPPED PIPER PA-18, N121BB, COLLIDED WITH TERRAIN AT CIRCLE, ALASKA  THE AIRPLANE WAS BEING OPERATED AS A VISUAL FLIGHT RULES VFR CROSS-COUNTRY PERSONAL FLIGHT WHEN THE ACCIDENT OCCURRED   THE AIRPLANE, REGISTERED TO AND OPERATED BY THE PILOT, WAS DESTROYED   THE CERTIFICATED PRIVATE PILOT, THE SOLE OCCUPANT, RECEIVED FATAL INJURIES   VISUAL METEOROLOGICAL CONDITIONS PREVAILED  ON FEBRUARY , 1997, AT 1957, FRIENDS AND FAMILY OF THE PILOT REPORTED TO THE FEDERAL AVIATION ADMINISTRATION FAA THE PILOT WAS OVERDUE ON A FLIGHT FROM CIRCLE CITY AIRPORT THAT ORIGINATED ON FEBRUARY 7, 1997   THE PURPOSE OF THE FLIGHT WAS TO DELIVER GASOLINE CANS OF FUEL TO A TRAPPING CABIN LOCATED IN THE CRESCENT RIVER/CHARLEY RIVER AREA OF THE YUKON-CHARLEY RIVERS NATIONAL PRESERVE   FELLOW TRAPPERS AND PILOTS INDICATED THEY BECAME CONCERNED ABOUT THE FLIGHT WHEN THE ACCIDENT AIRPLANE DID NOT RETURN TO CIRCLE BY FEBRUARY 10, 1997   THEY HAD BEEN SEARCHING FOR 2 DAYS PRIOR TO REPORTING THE FLIGHT OVERDUE   THE FUEL CANS WERE NOT LOCATED AT THE IN TENDED DESTINATION, AND NO EVIDENCE THAT AN AIRPLANE HAD LANDED WAS OBSERVED  THE AIRPLANE WAS LOCATED ON FEB  16, 1997, ABOUT 300 YARDS SOUTHEAST OF THE DEPARTURE END OF RUNWAY 15 AT CIRCLE  THE AIRPLANE COLLIDED WITH SNOW COVERED TERRAIN IN AN AREA OF SMALL SPRUCE TREES IN A NEAR VERTICAL ATTITUDE   ALL OF THE FUEL CANS WERE STILL LOCATED IN THE AIRPLANE   THE PILOT DEPARTED A REMOTE AIRSTRIP WITH 10, FIVE GALLON GASOLINE CANS OF FUEL  THE PILOT INTENDED TO TRANSPORT THE FUEL TO A REMOTE TRAPPING CABIN  THE AIRPLANE ALSO CONTAINED FULL FUEL 36 GALLONS IN THE AIRPLANE FUEL TANKS, 50 POUNDS OF TRAPS AND SNARES, AND 35 POUNDS OF SURVIVAL EQUIPMENT  THE TOTAL GROSS WEIGHT OF THE AIRPLANE WAS ESTIMATED TO BE 1865 LBS; ITS MAXIMUM CERTIFICATED GROSS WEIGHT WAS 1750 LBS  NONE OF THE CARGO ITEMS WERE SECURED IN THE REAR OF THE AIRPLANE  THE AIRPLANE DID NOT REACH THE INTENDED DESTINATION, AND WAS REPORTED OVERDUE  IT WAS LOCATED 9 DAYS LATER, ABOUT 300 YARDS SOUTHEAST OF THE DEPARTURE RUNWAY, IN A STEEP, NOSE DOWN ATTITUDE  WHEN THE AIRPLANE WAS LOCATED, ALL OF THE CARGO ITEMS WERE FOUND PILED DOWN AND AROUND THE PILOT "
2013,19970313010659I,"NARRATIVE: ON MARCH 13, 1997, N956S, A CESSNA MODEL 500, WHILE ON A FUNCTIONAL TEST FLIGHT LANDED WITH THE NOSE GEA",II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Wheels-Up Landing   ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Executive           ,Test Flight         ,IFR                 ,Low Ceiling         ,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"NARRATIVE: ON MARCH 13, 1997, N956S, A CESSNA MODEL 500, WHILE ON A FUNCTIONAL TEST FLIGHT LANDED WITH THE NOSE GEAR IN THE UP POSITION AT GARNER MUNICIPAL AIRPORT, UVALDE, TEXAS  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME  NO FLIGHT PLAN WAS FILED, NO INJURIES, NO FIRE OR PROPERTY DAMAGE  INVESTIGATION REVEALED THAT THE RIGHT NOSE GEAR DOOR WAS LEFT DISCONNECTED FROM THE REAR HINGE ATTACH POINT AND TAPED IN THE CLOSED POSITION  PREFLIGHT INSPECTION FAILED TO OBSERVE THIS FUNCTION  THIS OFFICE CONSIDERS THIS INCIDENT CLOSED "
